source,target,value,level
Nuclear medicine,Biomedical engineering,1,1
Algorithm,Computer hardware,1,1
Geometry,Computational science,1,1
Physical chemistry,Molecular physics,1,1
Physical chemistry,Chemical physics,1,1
Nuclear magnetic resonance,Biomedical engineering,1,1
Nuclear magnetic resonance,Radiology,1,1
Computer vision,Medical physics,1,1
Finance,Econometrics,1,1
Data science,Computational biology,1,1
Machine learning,Computational biology,1,1
Software engineering,Information retrieval,1,1
Data mining,Real-time computing,1,1
Management science,Knowledge management,1,1
Management science,Data science,1,1
Machine learning,Mathematical optimization,1,1
Theoretical computer science,Computational science,1,1
Computer vision,Simulation,1,1
Simulation,Computer graphics (images),1,1
Simulation,Artificial intelligence,1,1
Statistical physics,Algorithm,1,1
Statistical physics,Applied mathematics,1,1
Machine learning,Cognitive psychology,1,1
Data mining,Computational biology,1,1
Programming language,Information retrieval,1,1
Computer graphics (images),Biomedical engineering,1,1
Artificial intelligence,Computer security,1,1
Cognitive psychology,Machine learning,1,1
Cognitive psychology,Data science,1,1
Cognitive psychology,Cognitive science,1,1
Cognitive psychology,Human–computer interaction,1,1
Cognitive psychology,Artificial intelligence,1,1
Machine learning,Cognitive science,1,1
Data science,Cognitive science,1,1
Internal medicine,Oncology,1,1
Visualization,Rendering (computer graphics),236,2
Visualization,Computer graphics,221,2
Rendering (computer graphics),Visualization,171,2
Visualization,Pattern recognition (psychology),156,2
Visualization,Virtual reality,140,2
Volume (thermodynamics),Visualization,112,2
Rendering (computer graphics),Computer graphics,106,2
Volume (thermodynamics),Rendering (computer graphics),100,2
Rendering (computer graphics),Virtual reality,86,2
Visualization,Analytics,80,2
Computer graphics,Rendering (computer graphics),77,2
Visualization,Big data,65,2
Analytics,Visualization,65,2
Visualization,Graph,62,2
Data modeling,Visualization,62,2
Computer graphics,Virtual reality,61,2
Visualization,Software,58,2
Graphics,Visualization,51,2
Graphics,Computer graphics,49,2
Deep learning,Visualization,47,2
Visualization,Scale (ratio),44,2
Feature extraction,Pattern recognition (psychology),43,2
Flow (mathematics),Computational fluid dynamics,41,2
Graphics,Rendering (computer graphics),41,2
