source,target,value,level
Rendering (computer graphics),Annotation,1,2
Cartesian coordinate system,Virtual reality,1,2
Solid modeling,Cartesian coordinate system,1,2
Graphics,Cartesian coordinate system,1,2
Visualization,Layering,1,2
Graphical model,Pattern recognition (psychology),1,2
Plot (graphics),Resolution (logic),1,2
Data analysis,Classifier (UML),1,2
Big data,Classifier (UML),1,2
Big data,Pattern recognition (psychology),1,2
Analytics,Classifier (UML),1,2
Support vector machine,Data analysis,1,2
Support vector machine,Big data,1,2
Classifier (UML),Ensemble learning,1,2
Bayesian probability,Pattern recognition (psychology),1,2
Schlieren,Grid,1,2
Cluster analysis,Kriging,1,2
Exploratory data analysis,Dimension (graph theory),1,2
Scale (ratio),Topic model,1,2
Social media,Learning analytics,1,2
Voxel,Light field,1,2
Motion (physics),Eye tracking,1,2
Abstraction,Eye tracking,1,2
Abstraction,Motion (physics),1,2
Tracking (education),Motion (physics),1,2
Tracking (education),Abstraction,1,2
Regression,Kriging,1,2
Visualization,Regression,1,2
Regression analysis,Kriging,1,2
Regression analysis,Regression,1,2
Regression analysis,Visualization,1,2
Linear regression,Kriging,1,2
Linear regression,Regression,1,2
Linear regression,Visualization,1,2
Linear regression,Regression analysis,1,2
Scalability,Topic model,1,2
Data modeling,Process (computing),1,2
Matching (statistics),Virtual reality,1,2
Feature extraction,Embedding,1,2
Matching (statistics),Augmented reality,1,2
Matching (statistics),Visualization,1,2
Matching (statistics),Rendering (computer graphics),1,2
3D reconstruction,Augmented reality,1,2
3D reconstruction,Matching (statistics),1,2
Surface (topology),Virtual reality,1,2
Surface (topology),Augmented reality,1,2
Surface (topology),Matching (statistics),1,2
Attraction,Computer graphics,1,2
Content (measure theory),Social media,1,2
Graph,Annotation,1,2
Chart,Presentation (obstetrics),1,2
Bar chart,Presentation (obstetrics),1,2
Radar chart,Presentation (obstetrics),1,2
Computer graphics,Set (abstract data type),1,2
Feature (linguistics),Visualization,1,2
Embedding,Feature (linguistics),1,2
Crowdsourcing,Topic model,1,2
Crowdsourcing,Relevance (law),1,2
Crowdsourcing,Ranking (information retrieval),1,2
Vortex,Aneurysm,1,2
Vortex,Hemodynamics,1,2
Cloud computing,Selection (genetic algorithm),1,2
Context (archaeology),Selection (genetic algorithm),1,2
Context (archaeology),Cloud computing,1,2
Mobile device,Selection (genetic algorithm),1,2
Mobile device,Cloud computing,1,2
Mobile device,Context (archaeology),1,2
Perception,Interactivity,1,2
Usability,Interactivity,1,2
Usability,Perception,1,2
Affordance,Interactivity,1,2
Affordance,Perception,1,2
Affordance,Usability,1,2
Visualization,Interactivity,1,2
Visualization,Affordance,1,2
Invariant (physics),Flow (mathematics),1,2
Invariant (physics),Vector field,1,2
Vortex,Blood flow,1,2
Vortex,Cerebral blood flow,1,2
Rotation (mathematics),Vector field,1,2
Hemodynamics,Flow (mathematics),1,2
Matching (statistics),Feature (linguistics),1,2
Matching (statistics),Feature extraction,1,2
Matching (statistics),Sparse approximation,1,2
Design methods,Engineering design process,1,2
Interactive design,Design methods,1,2
Topology (electrical circuits),Scalability,1,2
Field (mathematics),Kriging,1,2
Uncertainty quantification,Kriging,1,2
Uncertainty quantification,Field (mathematics),1,2
Vector field,Kriging,1,2
Vector field,Uncertainty quantification,1,2
Aneurysm,Cerebral blood flow,1,2
Flow (mathematics),Cerebral blood flow,1,2
Flow (mathematics),Aneurysm,1,2
Hemodynamics,Cerebral blood flow,1,2
Hemodynamics,Aneurysm,1,2
Hemodynamics,Blood flow,1,2
Rotation (mathematics),Flow (mathematics),1,2
Rotation (mathematics),Invariant (physics),1,2
Sparse approximation,Feature extraction,1,2
Vortex,Magnetic field,1,2
Vortex,Topology (electrical circuits),1,2
Vortex,Magnet,1,2
Sculpture,Virtual reality,1,2
Sculpture,Augmented reality,1,2
Sculpture,Visualization,1,2
Sculpture,Animation,1,2
Decision support system,Emergency management,1,2
Flood myth,Emergency management,1,2
Flood myth,Decision support system,1,2
Resource (disambiguation),Predictive analytics,1,2
Law enforcement,Predictive analytics,1,2
Law enforcement,Resource (disambiguation),1,2
Data-driven,Predictive analytics,1,2
Data-driven,Resource (disambiguation),1,2
Data-driven,Law enforcement,1,2
Big data,Resource (disambiguation),1,2
Big data,Law enforcement,1,2
Vortex,Tracking (education),1,2
Vortex,Superconductivity,1,2
Vortex,Invariant (physics),1,2
Magnet,Topology (electrical circuits),1,2
Vortex,Rotation (mathematics),1,2
Sensemaking,Perception,1,2
Exploratory search,User interface,1,2
Exploratory search,Visualization,1,2
Dataflow,Rendering (computer graphics),1,2
Magnetic field,Superconductivity,1,2
Tracking (education),Superconductivity,1,2
Tracking (education),Magnetic field,1,2
Visualization,Superconductivity,1,2
Visualization,Magnetic field,1,2
Topology (electrical circuits),Superconductivity,1,2
Topology (electrical circuits),Magnetic field,1,2
Topology (electrical circuits),Tracking (education),1,2
Magnet,Superconductivity,1,2
Magnet,Magnetic field,1,2
Magnet,Tracking (education),1,2
Magnet,Visualization,1,2
Matching (statistics),Field (mathematics),1,2
Sparse approximation,Feature (linguistics),1,2
Sentiment analysis,Relevance (law),1,2
Protein structure,Force field (fiction),1,2
Molecular dynamics,Force field (fiction),1,2
Molecular dynamics,Protein structure,1,2
Molecular biophysics,Force field (fiction),1,2
Molecular biophysics,Protein structure,1,2
Molecular biophysics,Molecular dynamics,1,2
Dynamics (music),Force field (fiction),1,2
Dynamics (music),Protein structure,1,2
Dynamics (music),Molecular biophysics,1,2
Diffusion,Nano-,1,2
Porosity,Nano-,1,2
Porosity,Diffusion,1,2
Ion,Nano-,1,2
Ion,Diffusion,1,2
Ion,Porosity,1,2
Planarity testing,Point cloud,1,2
Planarity testing,Visualization,1,2
Planar,Visualization,1,2
Visualization,Force field (fiction),1,2
Feature extraction,Trajectory,1,2
Tensor product,Tensor (intrinsic definition),1,2
Pattern recognition (psychology),Trajectory,1,2
Sentiment analysis,Ranking (information retrieval),1,2
Sentiment analysis,Crowdsourcing,1,2
Task (project management),Relevance (law),1,2
Task (project management),Ranking (information retrieval),1,2
Social media,Relevance (law),1,2
Social media,Ranking (information retrieval),1,2
Social media,Crowdsourcing,1,2
Visualization,Relevance (law),1,2
Context (archaeology),Data integration,1,2
Big data,Context (archaeology),1,2
Data modeling,Context (archaeology),1,2
Workflow,Provenance,1,2
Rendering (computer graphics),Domain (mathematical analysis),1,2
Computer graphics,Domain (mathematical analysis),1,2
Tracking (education),Graph,1,2
Segmentation,Graph,1,2
Segmentation,Tracking (education),1,2
Planar,Planarity testing,1,2
Multilinear map,Tensor (intrinsic definition),1,2
Sparse approximation,Field (mathematics),1,2
Central processing unit,Parallel algorithm,1,2
CUDA,Parallel algorithm,1,2
Graphics,Parallel algorithm,1,2
Graphics processing unit,Parallel algorithm,1,2
Volume (thermodynamics),Parallel algorithm,1,2
Volume (thermodynamics),Speedup,1,2
Volume (thermodynamics),Central processing unit,1,2
Visualization,Stroke (engine),1,2
Star (game theory),Barycentric coordinate system,1,2
Star (game theory),Cartesian coordinate system,1,2
A* search algorithm,Barycentric coordinate system,1,2
A* search algorithm,Cartesian coordinate system,1,2
Visualization,Barycentric coordinate system,1,2
Visualization,Star (game theory),1,2
Visualization,A* search algorithm,1,2
Pattern recognition (psychology),Feature selection,1,2
Infographic,Rendering (computer graphics),1,2
Infographic,Graphics,1,2
Visualization,Parallel algorithm,1,2
Central processing unit,Data structure,1,2
Multilinear map,Tensor product,1,2
Parallel algorithm,Data structure,1,2
Wavelet,Tensor (intrinsic definition),1,2
Wavelet,Tensor product,1,2
Wavelet,Multilinear map,1,2
Pattern recognition (psychology),Tensor product,1,2
Pattern recognition (psychology),Multilinear map,1,2
Atmospheric model,Image resolution,1,2
High resolution,Atmospheric model,1,2
Resolution (logic),Atmospheric model,1,2
Data assimilation,Image resolution,1,2
Data assimilation,Atmospheric model,1,2
Data assimilation,High resolution,1,2
Data assimilation,Resolution (logic),1,2
Sea surface temperature,Image resolution,1,2
Sea surface temperature,Atmospheric model,1,2
Sea surface temperature,High resolution,1,2
Sea surface temperature,Resolution (logic),1,2
Sea surface temperature,Data assimilation,1,2
Topology (electrical circuits),Inertial frame of reference,1,2
Volume (thermodynamics),Fiber,1,2
Bespoke,Chart,1,2
Analytics,Random forest,1,2
Ambiguity,Rough set,1,2
Ambiguity,Probabilistic logic,1,2
Ambiguity,Pattern recognition (psychology),1,2
Manifold (fluid mechanics),Data-driven,1,2
Dimensionality reduction,Manifold (fluid mechanics),1,2
Deep learning,Scale (ratio),1,2
Random forest,Data analysis,1,2
Random forest,Big data,1,2
Atlas (anatomy),Monte Carlo method,1,2
Graphics,Workflow,1,2
Persistence (discontinuity),Monte Carlo method,1,2
Persistence (discontinuity),Atlas (anatomy),1,2
Space (punctuation),Word (group theory),1,2
Consistency (knowledge bases),Cloud computing,1,2
Automatic summarization,Event (particle physics),1,2
Sequence (biology),Automatic summarization,1,2
Handover,Asynchronous communication,1,2
Sensemaking,Asynchronous communication,1,2
Probabilistic logic,Rough set,1,2
Nucleic acid,Visualization,1,2
Nucleic acid,DNA,1,2
Visualization,DNA,1,2
Fluid dynamics,Vector field,1,2
Ensemble learning,Anomaly detection,1,2
Data-driven,Ensemble learning,1,2
Segmentation,3d model,1,2
Copula (linguistics),Data modeling,1,2
Multivariate statistics,Copula (linguistics),1,2
Virtual reality,Drone,1,2
Augmented reality,Drone,1,2
Visualization,Drone,1,2
Rendering (computer graphics),Drone,1,2
Firefly protocol,Drone,1,2
Firefly protocol,Virtual reality,1,2
Firefly protocol,Augmented reality,1,2
Firefly protocol,Visualization,1,2
Firefly protocol,Rendering (computer graphics),1,2
Pairwise comparison,Set (abstract data type),1,2
Task (project management),Pairwise comparison,1,2
Sensemaking,Handover,1,2
Knowledge transfer,Asynchronous communication,1,2
Knowledge transfer,Handover,1,2
Optimization problem,Selection (genetic algorithm),1,2
Multi-objective optimization,Sensitivity (control systems),1,2
Multi-objective optimization,Evolutionary algorithm,1,2
Multi-objective optimization,Selection (genetic algorithm),1,2
Multi-objective optimization,Genetic algorithm,1,2
Multi-objective optimization,Optimization problem,1,2
Pareto principle,Sensitivity (control systems),1,2
Pareto principle,Evolutionary algorithm,1,2
Pareto principle,Selection (genetic algorithm),1,2
Pareto principle,Genetic algorithm,1,2
Pareto principle,Optimization problem,1,2
Pareto principle,Multi-objective optimization,1,2
Semantic similarity,Task (project management),1,2
Word (group theory),Task (project management),1,2
Convolutional neural network,Semantic similarity,1,2
Convolutional neural network,Word (group theory),1,2
Semantics (computer science),Convolutional neural network,1,2
Embedding,Task (project management),1,2
Optimization problem,Genetic algorithm,1,2
Optimization problem,Evolutionary algorithm,1,2
Knowledge transfer,Sensemaking,1,2
Optimization problem,Sensitivity (control systems),1,2
Feature selection,Event (particle physics),1,2
Multivariate statistics,Feature selection,1,2
Big data,Dimension (graph theory),1,2
Analytics,Dimension (graph theory),1,2
Multimodal interaction,Visualization,1,2
Typology,Analytics,1,2
Sensemaking,Typology,1,2
Big data,Ensemble learning,1,2
Ensemble forecasting,Big data,1,2
Cluster analysis,Ensemble learning,1,2
Cluster analysis,Ensemble forecasting,1,2
Evolutionary algorithm,Sensitivity (control systems),1,2
Selection (genetic algorithm),Sensitivity (control systems),1,2
Selection (genetic algorithm),Evolutionary algorithm,1,2
Genetic algorithm,Sensitivity (control systems),1,2
Genetic algorithm,Evolutionary algorithm,1,2
Genetic algorithm,Selection (genetic algorithm),1,2
Visualization,Exposition (narrative),1,2
Computer graphics,Exposition (narrative),1,2
Exposition (narrative),Graphics,1,2
Track (disk drive),Trajectory,1,2
Sequence (biology),Sequence learning,1,2
Sequence (biology),Chunking (psychology),1,2
Debugging,Sequence learning,1,2
Debugging,Chunking (psychology),1,2
Debugging,Sequence (biology),1,2
Regression analysis,Logistic regression,1,2
Data modeling,Logistic regression,1,2
Regression,Logistic regression,1,2
Regression,Regression analysis,1,2
Regression,Data modeling,1,2
Eye tracking,Pattern recognition (psychology),1,2
Identification (biology),Pattern recognition (psychology),1,2
Identification (biology),Tracking (education),1,2
Identification (biology),Eye tracking,1,2
Analytics,Web application,1,2
Threat model,Network security,1,2
Visualization,Network security,1,2
Chunking (psychology),Sequence learning,1,2
Track (disk drive),Space (punctuation),1,2
Vulnerability (computing),Network security,1,2
Track (disk drive),Animation,1,2
Bespoke,Visualization,1,2
Heuristics,Heuristic,1,2
Visualization,Heuristic,1,2
Visualization,Heuristics,1,2
Convolutional neural network,Perception,1,2
Deep learning,Perception,1,2
Ranking (information retrieval),Spatial analysis,1,2
Star (game theory),Coordinate system,1,2
Barycentric coordinate system,Coordinate system,1,2
Barycentric coordinate system,Star (game theory),1,2
Cartesian coordinate system,Star (game theory),1,2
Decision support system,Event (particle physics),1,2
Animation,Drag,1,2
Space (punctuation),Drag,1,2
Trajectory,Drag,1,2
Trajectory,Space (punctuation),1,2
Track (disk drive),Drag,1,2
Visualization,Threat model,1,2
Vulnerability (computing),Threat model,1,2
Deep learning,Ontology,1,2
Octree,Ray tracing (physics),1,2
Polygon mesh,Ray tracing (physics),1,2
Scalability,Ensemble learning,1,2
Context (archaeology),Ensemble learning,1,2
Context (archaeology),Scalability,1,2
Scale (ratio),Ensemble learning,1,2
Scale (ratio),Context (archaeology),1,2
Segmentation,Probabilistic logic,1,2
Vector field,Invariant (physics),1,2
Crowdsourcing,Annotation,1,2
Parsing,Pipeline (software),1,2
Parsing,Pipeline transport,1,2
Visualization,Parsing,1,2
Rendering (computer graphics),Parsing,1,2
Graphics,Parsing,1,2
Volume (thermodynamics),Parsing,1,2
Flow (mathematics),Observer (physics),1,2
Analytics,Ontology,1,2
Speedup,Octree,1,2
Cluster analysis,Rendering (computer graphics),1,2
Vulnerability (computing),Visualization,1,2
Image resolution,Rendering (computer graphics),1,2
Deep learning,Social media,1,2
Artificial neural network,Social media,1,2
Anomaly detection,Scalability,1,2
Partition (number theory),Spatial analysis,1,2
Partition (number theory),Scale (ratio),1,2
Partition (number theory),Pattern recognition (psychology),1,2
Visualization,Partition (number theory),1,2
Feature extraction,Spatial analysis,1,2
Feature extraction,Scale (ratio),1,2
Feature extraction,Partition (number theory),1,2
Cluster analysis,Spatial analysis,1,2
Cluster analysis,Scale (ratio),1,2
Cluster analysis,Partition (number theory),1,2
Visualization,Data curation,1,2
Ensemble forecasting,Pattern recognition (psychology),1,2
Facial expression,Face (sociological concept),1,2
Facial expression,Pattern recognition (psychology),1,2
Embedding,Convolutional neural network,1,2
Artificial neural network,Semantic similarity,1,2
Artificial neural network,Word (group theory),1,2
Graph,Community structure,1,2
Topological data analysis,Community structure,1,2
Bitmap,Retargeting,1,2
Visualization,Retargeting,1,2
Visualization,Bitmap,1,2
Embedding,Graph,1,2
Visualization,Nanoscopic scale,1,2
Animation,Table (database),1,2
Perception,Scale (ratio),1,2
Pattern recognition (psychology),State (computer science),1,2
Feature extraction,State (computer science),1,2
Deep learning,State (computer science),1,2
Dynamics (music),State (computer science),1,2
Dynamics (music),Pattern recognition (psychology),1,2
Dynamics (music),Feature extraction,1,2
Artificial neural network,State (computer science),1,2
Artificial neural network,Dynamics (music),1,2
Anchoring,Virtual reality,1,2
Topological data analysis,Complex network,1,2
Graph,Complex network,1,2
Copula (linguistics),Uncertainty quantification,1,2
Topology (electrical circuits),Community structure,1,2
Pattern recognition (psychology),Boosting (machine learning),1,2
Visualization,Boosting (machine learning),1,2
Feature extraction,Boosting (machine learning),1,2
Feature extraction,Decision tree,1,2
Feature extraction,Tree (set theory),1,2
RGB color model,Computer graphics,1,2
Human skeleton,Visualization,1,2
Skeleton (computer programming),Visualization,1,2
Skeleton (computer programming),Human skeleton,1,2
Graph,Set (abstract data type),1,2
Decomposition,Set (abstract data type),1,2
Decomposition,Graph,1,2
Decomposition,Visualization,1,2
Complex network,Persistent homology,1,2
Community structure,Persistent homology,1,2
Community structure,Complex network,1,2
Topology (electrical circuits),Complex network,1,2
Copula (linguistics),Uncertainty analysis,1,2
Copula (linguistics),Visualization,1,2
Feature (linguistics),Decision tree,1,2
Scale (ratio),Multiscale modeling,1,2
Geospatial analysis,Rendering (computer graphics),1,2
Agency (philosophy),User experience design,1,2
Agency (philosophy),User interface,1,2
Solid modeling,Haptic technology,1,2
Augmented reality,Solid modeling,1,2
Search engine indexing,Data structure,1,2
Search engine indexing,Speedup,1,2
CUDA,Search engine indexing,1,2
Graphics,Search engine indexing,1,2
Graphics processing unit,Search engine indexing,1,2
Visualization,Volume expansion,1,2
Volume (thermodynamics),Volume expansion,1,2
Workflow,Ray tracing (physics),1,2
Software,Ray tracing (physics),1,2
Grid,Workflow,1,2
CUDA,Ray tracing (physics),1,2
CUDA,Workflow,1,2
Visualization,Multiscale modeling,1,2
Flow (mathematics),Jet (fluid),1,2
High dimensional,Exploratory data analysis,1,2
Computational fluid dynamics,Jet (fluid),1,2
Pattern recognition (psychology),Exploratory data analysis,1,2
Pattern recognition (psychology),High dimensional,1,2
Visualization,High dimensional,1,2
Tracing,Parallel algorithm,1,2
Scalability,Tracing,1,2
Speedup,Scalability,1,2
Finite element method,Field (mathematics),1,2
Interactive design,Computer graphics,1,2
Interactive design,Rendering (computer graphics),1,2
Graphics,Space (punctuation),1,2
Structuring,Computer graphics,1,2
Structuring,Visualization,1,2
Structuring,Space (punctuation),1,2
Structuring,Rendering (computer graphics),1,2
Structuring,Graphics,1,2
Rendering (computer graphics),Exploratory data analysis,1,2
Rendering (computer graphics),Exploratory analysis,1,2
Feature (linguistics),Tree (set theory),1,2
Feature (linguistics),Boosting (machine learning),1,2
Artificial neural network,Semantics (computer science),1,2
Convolutional neural network,Python (programming language),1,2
Dataflow,Python (programming language),1,2
Dataflow,Convolutional neural network,1,2
Dataflow,Deep learning,1,2
Workflow,Cluster (spacecraft),1,2
Provenance,Cluster (spacecraft),1,2
Provenance,Workflow,1,2
Cluster analysis,Workflow,1,2
Cluster analysis,Provenance,1,2
Visualization,Skyline,1,2
Scale (ratio),Deep learning,1,2
Artificial neural network,Scale (ratio),1,2
Sequence (biology),Categorical variable,1,2
Data modeling,Outlier,1,2
Class (philosophy),Convolutional neural network,1,2
Deep learning,Class (philosophy),1,2
Hierarchy,Convolutional neural network,1,2
Hierarchy,Pattern recognition (psychology),1,2
Deep learning,Python (programming language),1,2
Artificial neural network,Generative grammar,1,2
Hierarchy,Deep learning,1,2
Artificial neural network,Training (meteorology),1,2
Artificial neural network,Embedding,1,2
Visualization,Subtyping,1,2
Workflow,Computer graphics,1,2
Pattern recognition (psychology),Unsupervised learning,1,2
Visualization,Unsupervised learning,1,2
Sequence (biology),Data modeling,1,2
Big data,Topic model,1,2
Learning analytics,Topic model,1,2
Deep learning,Topic model,1,2
Data modeling,Learning analytics,1,2
Ranking (information retrieval),Big data,1,2
Training (meteorology),Convolutional neural network,1,2
Training (meteorology),Visualization,1,2
Training (meteorology),Deep learning,1,2
Data modeling,Training (meteorology),1,2
Generative grammar,Training (meteorology),1,2
Generative grammar,Data modeling,1,2
Hierarchy,Class (philosophy),1,2
Artificial neural network,Class (philosophy),1,2
Tree (set theory),Classifier (UML),1,2
Volume (thermodynamics),Caustic (mathematics),1,2
Volume (thermodynamics),Geometrical optics,1,2
Volume (thermodynamics),Refraction,1,2
Streaming data,Change detection,1,2
Streaming data,Anomaly detection,1,2
Convolutional neural network,Change detection,1,2
Convolutional neural network,Anomaly detection,1,2
Convolutional neural network,Streaming data,1,2
Data-driven,Change detection,1,2
Data-driven,Streaming data,1,2
Visualization,Streaming data,1,2
Feature extraction,Anomaly detection,1,2
Feature extraction,Streaming data,1,2
Data modeling,Anomaly detection,1,2
Data modeling,Streaming data,1,2
Analytics,Context (archaeology),1,2
Decision tree,Boosting (machine learning),1,2
Tree (set theory),Boosting (machine learning),1,2
Volume (thermodynamics),Holography,1,2
Refraction,Geometrical optics,1,2
Artificial neural network,Hierarchy,1,2
Refraction,Holography,1,2
Pipeline (software),Rendering (computer graphics),1,2
Word (group theory),Lexicon,1,2
Social media,Lexicon,1,2
Social media,Word (group theory),1,2
Semantics (computer science),Lexicon,1,2
Semantics (computer science),Social media,1,2
Visualization,Lexicon,1,2
Embedding,Lexicon,1,2
Embedding,Social media,1,2
Caustic (mathematics),Ray tracing (physics),1,2
Holography,Ray tracing (physics),1,2
Holography,Caustic (mathematics),1,2
Geometrical optics,Ray tracing (physics),1,2
Geometrical optics,Caustic (mathematics),1,2
Geometrical optics,Holography,1,2
Refraction,Ray tracing (physics),1,2
Refraction,Caustic (mathematics),1,2
Dimensional modeling,Data warehouse,1,2
Interactive visualization,Data visualization,766,3
Visual analytics,Data visualization,510,3
Interactive visualization,Information visualization,396,3
Visual analytics,Information visualization,375,3
Visual analytics,Interactive visualization,263,3
Information visualization,Data visualization,228,3
Data visualization,Visual analytics,222,3
Interactive visualization,Visual analytics,218,3
Data visualization,Information visualization,209,3
Interactive visualization,Scientific visualization,125,3
Creative visualization,Interactive visualization,115,3
Creative visualization,Data visualization,115,3
Creative visualization,Visual analytics,108,3
Creative visualization,Information visualization,106,3
Data visualization,Scientific visualization,105,3
3D rendering,Volume rendering,84,3
Visual analytics,Scientific visualization,81,3
Information visualization,Scientific visualization,79,3
Flow visualization,Data visualization,61,3
Scientific visualization,Data visualization,61,3
Volume rendering,Data visualization,54,3
Graph drawing,Data visualization,46,3
Real-time rendering,Volume rendering,39,3
3D rendering,Data visualization,38,3
Data visualization,Volume rendering,37,3
Interactive visualization,Volume rendering,35,3
Marching cubes,Isosurface,35,3
3D rendering,Image-based modeling and rendering,33,3
Real-time rendering,3D rendering,33,3
Scientific visualization,Interactive visualization,33,3
Scientific visualization,Information visualization,32,3
Creative visualization,Scientific visualization,31,3
Real-time rendering,Image-based modeling and rendering,29,3
Graph drawing,Interactive visualization,28,3
3D rendering,Interactive visualization,28,3
Volume rendering,Interactive visualization,28,3
Graph drawing,Information visualization,27,3
Scientific visualization,Visual analytics,27,3
Flow visualization,Interactive visualization,27,3
Data visualization,Representation (politics),26,3
Volume rendering,Scientific visualization,26,3
Graph drawing,Visual analytics,25,3
Volume rendering,3D rendering,21,3
3D rendering,Real-time rendering,21,3
Visual analytics,Representation (politics),20,3
Scientific visualization,Creative visualization,20,3
Flow visualization,Scientific visualization,17,3
Interactive visualization,Representation (politics),13,3
Social media analytics,Data visualization,13,3
Glyph (data visualization),Data visualization,12,3
Flow visualization,Creative visualization,12,3
Texture (cosmology),Data visualization,12,3
Parallel rendering,Volume rendering,12,3
Interactive visualization,Graph drawing,11,3
3D rendering,Scientific visualization,11,3
Real-time rendering,Interactive visualization,11,3
Visual analytics,Volume rendering,10,3
Interpolation (computer graphics),Multivariate interpolation,10,3
Image-based modeling and rendering,Volume rendering,10,3
Visual analytics,Social media analytics,10,3
Computer animation,Data visualization,10,3
Marching cubes,Volume rendering,10,3
Data visualization,Creative visualization,10,3
Real-time rendering,Data visualization,9,3
3D computer graphics,Interactive visualization,9,3
3D computer graphics,Data visualization,9,3
Isosurface,Volume rendering,9,3
3D computer graphics,Scientific visualization,9,3
Marching cubes,Data visualization,9,3
Similarity (geometry),Data visualization,9,3
Volume rendering,Image-based modeling and rendering,9,3
Interactive visualization,Creative visualization,8,3
Flow visualization,Visual analytics,8,3
Diffusion MRI,Anisotropic diffusion,8,3
3D rendering,Parallel rendering,8,3
Real-time rendering,Parallel rendering,8,3
Flow visualization,Information visualization,8,3
Information visualization,Volume rendering,8,3
Information visualization,Interactive visualization,8,3
Flow visualization,Vorticity,8,3
Diffusion MRI,Data visualization,7,3
Graphics software,3D computer graphics,7,3
Computer animation,Interactive visualization,7,3
Data exploration,Data visualization,7,3
Marching cubes,Interactive visualization,7,3
Interactive visualization,Flow visualization,7,3
3D rendering,Texture (cosmology),7,3
Isosurface,Data visualization,7,3
Visual analytics,Similarity (geometry),7,3
Data visualization,Isosurface,7,3
Parallel rendering,3D rendering,7,3
Glyph (data visualization),Visual analytics,7,3
Compression ratio,Lossless compression,7,3
Glyph (data visualization),Interactive visualization,7,3
Information visualization,Representation (politics),6,3
Terrain rendering,Data visualization,6,3
Vertex (graph theory),Isosurface,6,3
Social media analytics,Visual analytics,6,3
Information visualization,Creative visualization,6,3
Flow visualization,Volume rendering,6,3
Scene graph,Interactive visualization,6,3
Interactive visualization,Graphics software,6,3
Sampling (signal processing),Data visualization,6,3
Interpolation (computer graphics),Data visualization,6,3
Social media analytics,Information visualization,6,3
Volume rendering,Information visualization,6,3
Interactive visualization,Image-based modeling and rendering,6,3
Clustering high-dimensional data,Data visualization,6,3
Terrain rendering,Raised-relief map,5,3
Data visualization,Graphics software,5,3
Vertex (graph theory),Marching cubes,5,3
Genome,Data visualization,5,3
Structure tensor,Tensor field,5,3
Scene graph,Data visualization,5,3
3D computer graphics,Graphics software,5,3
Symmetric tensor,Tensor field,5,3
Interpolation (computer graphics),Linear interpolation,5,3
Graph drawing,Creative visualization,5,3
Scientific visualization,Graphics software,5,3
Mixed reality,Data visualization,5,3
Information visualization,Visual analytics,5,3
Interactive visualization,Terrain rendering,5,3
3D rendering,Isosurface,5,3
Glyph (data visualization),Information visualization,5,3
Distributed ray tracing,Data visualization,5,3
Task analysis,Visual analytics,5,3
3D rendering,Compression ratio,4,3
Optical flow,Data visualization,4,3
Creative visualization,Volume rendering,4,3
Computer animation,Visual analytics,4,3
Volume rendering,Texture (cosmology),4,3
3D rendering,Lossless compression,4,3
Social media analytics,Interactive visualization,4,3
Isosurface,Interactive visualization,4,3
Zoom,Interactive visualization,4,3
Software development,Software system,4,3
Data exploration,Information visualization,4,3
Data exploration,Visual analytics,4,3
Data exploration,Interactive visualization,4,3
Linear interpolation,Multivariate interpolation,4,3
General-purpose computing on graphics processing units,Data visualization,4,3
General-purpose computing on graphics processing units,Interactive visualization,4,3
Data visualization,Multivariate interpolation,4,3
Zoom,Data visualization,4,3
Visual analytics,Graph drawing,4,3
3D computer graphics,Visual analytics,4,3
Software development,Visual analytics,4,3
Geometry processing,Triangle mesh,4,3
Volume rendering,Representation (politics),4,3
Mixed reality,Interactive visualization,4,3
Graph database,Graph drawing,4,3
Texture (cosmology),Real-time rendering,4,3
3D rendering,Terrain rendering,4,3
Graphics hardware,Volume rendering,4,3
3D rendering,Marching cubes,4,3
Software development,Data visualization,4,3
Nonlinear dimensionality reduction,Data visualization,4,3
Texture (cosmology),Displacement mapping,4,3
Data visualization,Parallel rendering,4,3
Interactive visualization,Parallel rendering,4,3
Scene graph,Graph drawing,4,3
Geometry processing,Surface reconstruction,4,3
Interpolation (computer graphics),Spline interpolation,4,3
3D rendering,Flow visualization,4,3
Mesh generation,Triangle mesh,3,3
Distributed ray tracing,3D rendering,3,3
Geometry processing,Mesh generation,3,3
Social network (sociolinguistics),Microblogging,3,3
Glyph (data visualization),Creative visualization,3,3
Social network (sociolinguistics),Data visualization,3,3
Visual analytics,Social network analysis,3,3
Social network (sociolinguistics),Social network analysis,3,3
Data visualization,Social network analysis,3,3
Graphics hardware,General-purpose computing on graphics processing units,3,3
Isosurface,Scientific visualization,3,3
Marching cubes,Scientific visualization,3,3
Bayesian inference,Prior probability,3,3
Software system,Data visualization,3,3
Dataflow architecture,Data visualization,3,3
Social network (sociolinguistics),Visual analytics,3,3
Distributed ray tracing,Interactive visualization,3,3
Distributed ray tracing,Volume rendering,3,3
Software development,Interactive visualization,3,3
Interactive visualization,Isosurface,3,3
Volume rendering,Flow visualization,3,3
Scientific visualization,Representation (politics),3,3
Interactive visualization,Motion capture,3,3
Mixed reality,Information visualization,3,3
Diffusion MRI,Fiber bundle,3,3
Visual analytics,Glyph (data visualization),3,3
Similarity (geometry),Interactive visualization,3,3
Visual analytics,Software system,3,3
Texture (cosmology),Volume rendering,3,3
Texture (cosmology),Image-based modeling and rendering,3,3
Software development,Information visualization,3,3
Heuristic evaluation,Web usability,3,3
